nohup: ignoring input
IR US26 X1120651,X1120533,51204940
2026-05-05 20:02:23,942 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:23,948 - Worker-2 - INFO - Downloaded https://www.informatics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:23,950 - Worker-1 - INFO - Downloaded https://www.cs.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:23,953 - Worker-3 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:24,535 - Worker-2 - INFO - Downloaded https://ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:24,741 - Worker-1 - INFO - Downloaded https://informatics.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:24,747 - Worker-3 - INFO - Downloaded https://informatics.uci.edu/explore/department-seminars, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,023 - Worker-0 - INFO - Downloaded https://oai.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,212 - Worker-3 - INFO - Downloaded https://acoi.ics.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,285 - Worker-1 - INFO - Downloaded https://cml.ics.uci.edu/aiml, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,425 - Worker-0 - INFO - Downloaded https://cs.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,583 - Worker-2 - INFO - Downloaded https://cs.uci.edu/events/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,761 - Worker-1 - INFO - Downloaded https://hpi.ics.uci.edu/hpiuci-2022-grand-opening-event, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,958 - Worker-2 - INFO - Downloaded https://ics.uci.edu/2025/07/16/inaugural-hasso-plattner-endowed-chair-padhraic-smyth-speaks-on-ai-past-present-and-future, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:25,993 - Worker-1 - INFO - Downloaded https://isg.ics.uci.edu/talks, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:26,042 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:26,049 - Worker-2 - INFO - Downloaded https://stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:26,362 - Worker-2 - INFO - Downloaded https://informatics.ics.uci.edu/books, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:26,482 - Worker-0 - INFO - Downloaded https://cml.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:26,835 - Worker-0 - INFO - Downloaded https://create.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:26,891 - Worker-1 - INFO - Downloaded https://futurehealth.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:27,160 - Worker-0 - INFO - Downloaded https://hpi.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:27,343 - Worker-2 - INFO - Downloaded https://ics.uci.edu/academics/graduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:27,375 - Worker-2 - INFO - Downloaded https://industryshowcase.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
2026-05-05 20:02:27,518 - Worker-0 - INFO - Downloaded https://summeracademy.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9014).
