2026-05-01 17:52:27,540 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:28,269 - Worker-0 - INFO - Downloaded https://stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:28,880 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:29,467 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/what-is-statistics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:30,050 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:30,647 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=STATS&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:31,227 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:31,767 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~sharad, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:32,290 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/tutoring-resources, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:32,873 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/statistics-seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:33,449 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/slider/b-s-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:34,061 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/?page_id=81, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:34,571 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/research-areas, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:35,165 - Worker-0 - INFO - Downloaded https://ics.uci.edu/research-areas/genomics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:35,858 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:36,432 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/explore/department-seminars, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:37,043 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:37,624 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=INF&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:38,307 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:38,866 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/resume.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:39,379 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:39,909 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/classes/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:40,437 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/intropaper/intropaper.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 17:52:40,963 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/conclusionpaper/conclusionpaper.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
