2026-05-01 15:51:36,530 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:37,251 - Worker-0 - INFO - Downloaded https://stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:37,826 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:38,393 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/what-is-statistics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:38,968 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:39,537 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=STATS&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:40,110 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:40,682 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~zhaoxia/CNCM2023, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:41,210 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:41,720 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:42,249 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:42,785 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/wald.h, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:43,294 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/pchisq.c, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:43,803 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/gg_wald.cpp, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:44,312 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/gg_wald, status <403>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:44,822 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/bitcount.h, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:45,331 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:45,859 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~sharad, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:46,382 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/tutoring-resources, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:46,957 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/statistics-seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:47,523 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/slider/b-s-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:48,103 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/?page_id=81, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:48,613 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/research-areas, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:49,190 - Worker-0 - INFO - Downloaded https://ics.uci.edu/research-areas/genomics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:49,875 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:50,445 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/explore/department-seminars, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:51,044 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:51,636 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=INF&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:52,238 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:52,799 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/resume.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:53,331 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:53,913 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld030.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:54,471 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld030.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:55,012 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld029.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:55,554 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld028.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:56,093 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld027.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:56,620 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld026.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:57,148 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld025.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:57,675 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld024.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:58,204 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld023.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:58,730 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld022.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:59,259 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld021.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:51:59,796 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld020.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:52:00,322 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld019.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:52:00,849 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld018.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:52:01,375 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld017.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:52:01,902 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld016.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
