2026-05-01 14:37:25,279 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:25,996 - Worker-0 - INFO - Downloaded https://stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:26,569 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:27,139 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/what-is-statistics, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:27,711 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:28,283 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=STATS&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:28,855 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:29,428 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~zhaoxia/CNCM2023, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:29,954 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:30,464 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:30,994 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:31,529 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/wald.h, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:32,038 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/pchisq.c, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:32,547 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/gg_wald.cpp, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:33,056 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/gg_wald, status <403>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:33,565 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/bitcount.h, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:34,074 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:34,601 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~sharad, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:35,123 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/tutoring-resources, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:35,698 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/statistics-seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:36,265 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/slider/b-s-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:36,842 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/?page_id=81, status <404>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:37,351 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/research-areas, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:37,926 - Worker-0 - INFO - Downloaded https://ics.uci.edu/research-areas/genomics, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:38,604 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:39,171 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/explore/department-seminars, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:39,770 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:40,367 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=INF&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:40,975 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:41,529 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/resume.html, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:42,061 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:42,640 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld030.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:43,198 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld030.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:43,736 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld029.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:44,277 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld028.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:44,823 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld027.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:45,349 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld026.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:45,876 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld025.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:46,404 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld024.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:46,933 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld023.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:47,459 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld022.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:47,989 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld021.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:48,525 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld020.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:49,052 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld019.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:49,579 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld018.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:50,105 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld017.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:50,633 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld016.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:51,158 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld015.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:51,686 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld014.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:52,240 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld013.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:52,768 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld012.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:53,295 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld011.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:53,821 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld010.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:54,365 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld009.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:54,908 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld008.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:55,436 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld007.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:55,987 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld006.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:56,549 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld005.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:57,077 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld004.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:57,606 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld003.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:58,147 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld002.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:58,690 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld001.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:59,234 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:37:59,766 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld029.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:00,322 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld028.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:00,877 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld027.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:01,401 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld026.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:01,926 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld025.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:02,450 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld024.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:02,976 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld023.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:03,501 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld022.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:04,026 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld021.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:04,580 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld020.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:05,109 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld019.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:05,634 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld018.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:06,161 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld017.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:06,687 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld016.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:07,254 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld015.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:07,780 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld014.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:08,351 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld013.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:08,877 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld012.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:09,402 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld011.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:09,927 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld010.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:10,494 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld009.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:11,051 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld008.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:11,577 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld007.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:12,137 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld006.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:12,709 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld005.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:13,234 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld004.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:13,759 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld003.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
2026-05-01 14:38:14,315 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld002.htm, status <200>, using cache ('styx.ics.uci.edu', 9017).
