2026-05-01 15:45:15,711 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:16,440 - Worker-0 - INFO - Downloaded https://stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:17,014 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:17,581 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/what-is-statistics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:18,159 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:18,732 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=STATS&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:19,310 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:19,886 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~zhaoxia/CNCM2023, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:20,414 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:20,925 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:21,457 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:21,995 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/wald.h, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:22,506 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/pchisq.c, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:23,015 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/gg_wald.cpp, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:23,525 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/gg_wald, status <403>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:24,034 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode/bitcount.h, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:24,544 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:25,073 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~sharad, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:25,596 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/tutoring-resources, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:26,176 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/statistics-seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:26,747 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/slider/b-s-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:27,328 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/?page_id=81, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:27,838 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/research-areas, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:28,419 - Worker-0 - INFO - Downloaded https://ics.uci.edu/research-areas/genomics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:29,108 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:29,700 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/explore/department-seminars, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:30,322 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:30,936 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=INF&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:31,534 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:32,093 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/resume.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:32,628 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:33,212 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/sld030.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:33,771 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld030.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:34,311 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld029.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:34,851 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld028.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:35,390 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld027.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:35,918 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld026.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:36,447 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld025.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:36,981 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld024.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:37,509 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld023.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:38,037 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld022.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:38,567 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld021.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:39,105 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld020.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 15:45:39,633 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/ooad/intro_to_se/tsld019.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
