2026-05-01 16:12:46,885 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:47,612 - Worker-0 - INFO - Downloaded https://stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:48,188 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:48,761 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/what-is-statistics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:49,341 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:49,918 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=STATS&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:50,494 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~zhaoxia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:51,070 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~zhaoxia/CNCM2023, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:51,597 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:52,127 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~zhaoxia/publications/GGWald_manuscript/SourceCode, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:52,654 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~sharad, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:53,177 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/tutoring-resources, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:53,758 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/statistics-seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:54,330 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/slider/b-s-in-data-science, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:54,914 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/?page_id=81, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:55,424 - Worker-0 - INFO - Downloaded https://stat.ics.uci.edu/research-areas, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:56,030 - Worker-0 - INFO - Downloaded https://ics.uci.edu/research-areas/genomics, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:56,721 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:57,293 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/explore/department-seminars, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:57,905 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/undergraduate-programs, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:58,530 - Worker-0 - INFO - Downloaded https://courselisting.ics.uci.edu/ugrad_courses/listing-course.php?department=INF&level=Undergraduate&program=ALL&year=2025, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:59,130 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:12:59,691 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/resume.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:00,227 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/intro_to_se/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:00,759 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/ooad/classes/index.htm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:01,287 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/intropaper/intropaper.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:01,814 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/conclusionpaper/conclusionpaper.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:02,343 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ziv/diss/abstractpaper/abstractpaper.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:02,873 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/diss/abstractpaper/node2.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:03,400 - Worker-0 - INFO - Downloaded https://ics.uci.edu/~hziv/diss/abstractpaper/node1.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:03,925 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~neno/interests.html, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:04,455 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~ivan, status <500>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:04,963 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~djr, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:05,474 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/icse97, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:05,984 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/WWWdocs/localFAQ.html, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:06,494 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/Arcadia/atUCI.html, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:07,004 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~mmazmani, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:07,576 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/explore/faculty-profiles/melissa-mazmanian, status <404>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:08,087 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:08,693 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/instructors-staff, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:09,339 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=stacy-branham, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:09,865 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=sam-malek, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:10,393 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=rina-chamkrachang, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:10,999 - Worker-0 - INFO - Downloaded https://ics.uci.edu/people/rina-chamkrachang, status <608>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:11,507 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=mohammad-moshirpour, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:12,032 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=joshua-garcia, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:12,557 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=james-jones, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:13,083 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=jaclyn-kung, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:13,608 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=iftekhar-ahmed, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:14,133 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=hadar-ziv, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:14,658 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=emily-navarro, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:15,184 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=diane-flamm, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:15,793 - Worker-0 - INFO - Downloaded https://ics.uci.edu/people/diane-flamm, status <608>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:16,302 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=david-lennox, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:16,829 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=cristina-lopes, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:17,356 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=anto-park, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:17,963 - Worker-0 - INFO - Downloaded https://ics.uci.edu/people/anto-park, status <608>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:18,472 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=andre-van-der-hoek, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:19,000 - Worker-0 - INFO - Downloaded https://ics.uci.edu/?people=alberto-krone-martins, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:19,527 - Worker-0 - INFO - Downloaded https://mswe.ics.uci.edu/how-to-apply, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:20,171 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/grad/ms-software-engineering, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:20,755 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/grad/phd-software-engineering, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:21,330 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/phd-software-engineering, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:21,903 - Worker-0 - INFO - Downloaded https://www.informatics.uci.edu/grad/mswe, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:22,478 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/mswe, status <200>, using cache ('styx.ics.uci.edu', 9007).
2026-05-01 16:13:23,052 - Worker-0 - INFO - Downloaded https://informatics.ics.uci.edu/ms-software-engineering, status <200>, using cache ('styx.ics.uci.edu', 9007).
